x: 0.0, y: 0.0
[1725214596585] x: 0.0, y: 0.0
[1725214596596] x: 0.0, y: 0.0
[1725214596607] x: 0.0, y: 0.0
[1725214596618] x: 0.0, y: 0.0
[1725214596629] x: 0.0, y: 0.0
[1725214596640] x: 0.0, y: 0.0
[1725214596650] x: 0.0, y: 0.0
[1725214596662] x: 0.0, y: 0.0
[1725214596673] x: 0.0, y: 0.0
[1725214596684] x: 0.0, y: 0.0
[1725214596695] x: 0.0, y: 0.0
[1725214596705] x: 0.0, y: 0.0
[1725214596717] x: 0.0, y: 0.0
[1725214596728] x: 0.0, y: 0.0
[1725214596739] x: 0.0, y: 0.0
[1725214596750] x: 0.0, y: 0.0
[1725214596760] x: 0.0, y: 0.0
[1725214596772] x: 0.0, y: 0.0
[1725214596783] x: 0.0, y: 0.0
[1725214596794] x: 0.0, y: 0.0
[1725214596805] x: 0.0, y: 0.0
[1725214596816] x: 0.0, y: 0.0
[1725214596827] x: 0.0, y: 0.0
[1725214596838] x: 0.0, y: 0.0
[1725214596849] x: 0.0, y: 0.0
[1725214596860] x: 0.0, y: 0.0
[1725214596870] x: 0.0, y: 0.0
[1725214596882] x: 0.0, y: 0.0
[1725214596893] x: 0.0, y: 0.0
[1725214596904] x: 0.0, y: 0.0
[1725214596915] x: 0.0, y: 0.0
[1725214596926] x: 0.0, y: 0.0
[1725214596937] x: 0.0, y: 0.0
[1725214596948] x: 0.0, y: 0.0
[1725214596959] x: 0.0, y: 0.0
[1725214596970] x: 0.0, y: 0.0
[1725214596981] x: 0.0, y: 0.0
[1725214596992] x: 0.0, y: 0.0
[1725214597003] x: 0.0, y: 0.0
[1725214597014] x: 0.0, y: 0.0
[1725214597025] x: 0.0, y: 0.0
[1725214597036] x: 0.0, y: 0.0
[1725214597047] x: 0.0, y: 0.0
[1725214597058] x: 0.0, y: 0.0
[1725214597069] x: 0.0, y: 0.0
[1725214597080] x: 0.0, y: 0.0
[1725214597091] x: 0.0, y: 0.0
[1725214597102] x: 0.0, y: 0.0
[1725214597113] x: 0.0, y: 0.0
[1725214597124] x: 0.0, y: 0.0
[1725214597134] x: 0.0, y: 0.0
[1725214597146] x: 0.0, y: 0.0
[1725214597157] x: 0.0, y: 0.0
[1725214597168] x: 0.0, y: 0.0
[1725214597179] x: 0.0, y: 0.0
[1725214597189] x: 0.0, y: 0.0
[1725214597201] x: 0.0, y: 0.0
[1725214597212] x: 0.0, y: 0.0
[1725214597223] x: 0.0, y: 0.0
[1725214597234] x: 0.0, y: 0.0
[1725214597245] x: 0.0, y: 0.0
[1725214597256] x: 0.0, y: 0.0
[1725214597267] x: 0.0, y: 0.0
[1725214597278] x: 0.0, y: 0.0
[1725214597289] x: 0.0, y: 0.0
[1725214597299] x: 0.0, y: 0.0
[1725214597311] x: 0.0, y: 0.0
[1725214597322] x: 0.0, y: 0.0
[1725214597333] x: 0.0, y: 0.0
[1725214597344] x: 0.0, y: 0.0
[1725214597354] x: 0.0, y: 0.0
[1725214597366] x: 0.0, y: 0.0
[1725214597377] x: 0.0, y: 0.0
[1725214597388] x: 0.0, y: 0.0
[1725214597398] x: 0.0, y: 0.0
[1725214597410] x: 0.0, y: 0.0
[1725214597421] x: 0.0, y: 0.0
[1725214597432] x: 0.0, y: 0.0
[1725214597443] x: 0.0, y: 0.0
[1725214597454] x: 0.0, y: 0.0
[1725214597465] x: 0.0, y: 0.0
[1725214597476] x: 0.0, y: 0.0
[1725214597487] x: 0.0, y: 0.0
[1725214597498] x: 0.0, y: 0.0
[1725214597509] x: 0.0, y: 0.0
[1725214597520] x: 0.0, y: 0.0
[1725214597531] x: 0.0, y: 0.0
[1725214597542] x: 0.0, y: 0.0
[1725214597553] x: 0.0, y: 0.0
[1725214597564] x: 0.0, y: 0.0
[1725214597575] x: 0.0, y: 0.0
[1725214597586] x: 0.0, y: 0.0
[1725214597597] x: 0.0, y: 0.0
[1725214597608] x: 0.0, y: 0.0
[1725214597619] x: 0.0, y: 0.0
[1725214597630] x: 0.0, y: 0.0
[1725214597641] x: 0.0, y: 0.0
[1725214597652] x: 0.0, y: 0.0
[1725214597662] x: 0.0, y: 0.0
[1725214597674] x: 0.0, y: 0.0
[1725214597685] x: 0.0, y: 0.0
[1725214597696] x: 0.0, y: 0.0
[1725214597707] x: 0.0, y: 0.0
[1725214597718] x: 0.0, y: 0.0
[1725214597729] x: 0.0, y: 0.0
[1725214597740] x: 0.0, y: 0.0
[1725214597751] x: 0.0, y: 0.0
[1725214597762] x: 0.0, y: 0.0
[1725214597772] x: 0.0, y: 0.0
[1725214597784] x: 0.0, y: 0.0
[1725214597795] x: 0.0, y: 0.0
[1725214597806] x: 0.0, y: 0.0
[1725214597817] x: 0.0, y: 0.0
[1725214597828] x: 0.0, y: 0.0
[1725214597839] x: 0.0, y: 0.0
[1725214597850] x: 0.0, y: 0.0
[1725214597861] x: 0.0, y: 0.0
[1725214597872] x: 0.0, y: 0.0
[1725214597883] x: 0.0, y: 0.0
[1725214597894] x: 0.0, y: 0.0
[1725214597905] x: 0.0, y: 0.0
[1725214597915] x: 0.0, y: 0.0
[1725214597927] x: 0.0, y: 0.0
[1725214597938] x: 0.0, y: 0.0
[1725214597949] x: 0.0, y: 0.0
[1725214597960] x: 0.0, y: 0.0
[1725214597971] x: 0.0, y: 0.0
[1725214597982] x: 0.0, y: 0.0
[1725214597993] x: 0.0, y: 0.0
